"filename", "language", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\notice.service.ts", "TypeScript", 142, 0, 0, 100, 30, 272
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\password\password.component.css", "CSS", 0, 0, 15, 1, 1, 17
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\password\password.component.html", "HTML", 0, 72, 0, 0, 4, 76
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\password\password.component.ts", "TypeScript", 78, 0, 0, 2, 7, 87
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\pending-dialog\pending-dialog.component.html", "HTML", 0, 5, 0, 0, 1, 6
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\pending-dialog\pending-dialog.component.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\pending-item\pending-item.component.html", "HTML", 0, 62, 0, 0, 1, 63
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\pending-item\pending-item.component.ts", "TypeScript", 19, 0, 0, 2, 3, 24
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\pending\pending.component.html", "HTML", 0, 24, 0, 0, 1, 25
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\pending\pending.component.ts", "TypeScript", 59, 0, 0, 5, 7, 71
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\printout\printout.component.css", "CSS", 0, 0, 59, 0, 1, 60
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\printout\printout.component.html", "HTML", 0, 28, 0, 0, 2, 30
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\printout\printout.component.ts", "TypeScript", 23, 0, 0, 1, 4, 28
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\pupil.guard.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\resolvers\all-table-resolver.service.ts", "TypeScript", 22, 0, 0, 6, 2, 30
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\resolvers\base-resolver.service.ts", "TypeScript", 12, 0, 0, 4, 2, 18
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\resolvers\feed-resolver.service.ts", "TypeScript", 26, 0, 0, 6, 2, 34
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\resolvers\groups-resolver.service.ts", "TypeScript", 22, 0, 0, 6, 2, 30
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\resolvers\pending-resolver.service.ts", "TypeScript", 22, 0, 0, 6, 2, 30
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\resolvers\sections-resolver.service.ts", "TypeScript", 22, 0, 0, 6, 2, 30
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\resolvers\students-resolver.service.ts", "TypeScript", 22, 0, 0, 6, 2, 30
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\resolvers\subs-resolver.service.ts", "TypeScript", 22, 0, 0, 6, 2, 30
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\shared\password.validator.ts", "TypeScript", 13, 0, 0, 1, 2, 16
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\staff.guard.ts", "TypeScript", 9, 0, 0, 0, 1, 10
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\table\table-item\table-item.component.css", "CSS", 0, 0, 27, 0, 1, 28
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\table\table-item\table-item.component.html", "HTML", 0, 1, 0, 0, 1, 2
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\table\table-item\table-item.component.ts", "TypeScript", 86, 0, 0, 4, 10, 100
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\table\table.component.css", "CSS", 0, 0, 33, 0, 1, 34
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\table\table.component.html", "HTML", 0, 1, 0, 0, 1, 2
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\table\table.component.ts", "TypeScript", 33, 0, 0, 1, 6, 40
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\token-interceptor.service.ts", "TypeScript", 18, 0, 0, 3, 2, 23
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\top-bar\top-bar.component.css", "CSS", 0, 0, 38, 3, 1, 42
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\top-bar\top-bar.component.html", "HTML", 0, 110, 0, 0, 4, 114
"c:\Users\thckwn\Documents\School\MHS\A Block\IT\PAT\Phase 2.5\Angular\mydro-crude\src\app\top-bar\top-bar.component.ts", "TypeScript", 35, 0, 0, 0, 8, 43
"Total", "-", 2066, 978, 592, 293, 329, 4258
